Name,Type,URL,Description
User SignUp,POST,https://zuriportfoloio.com/api/auth/signup,Handles user registration and sign-up processes.
LogIn With Email & Password,POST,https://zuriportfoloio.com/api/auth/login,Facilitates user authentication and login using the provided email and password credentials of a user.
LogIn With Facebook,POST,https://zuriportfoloio.com/api/auth/facebook,Facilitates user authentication and login using Facebook's OAuth (Open Authorization) authentication system. This endpoint allows users to log in by using their Facebook account credentials.
LogIn With GitHub,POST,https://zuriportfoloio.com/api/auth/github,Facilitates user authentication and login using GitHub's OAuth (Open Authorization) authentication system. This endpoint allows users to log in by using their GitHub account credentials.
LogIn With Google,POST,https://zuriportfoloio.com/api/auth/google,Facilitates user authentication and login using Google's OAuth (Open Authorization) authentication system. This endpoint allows users to log in by using their Google account credentials.
Send Verification Email,POST,https://zuriportfoloio.com/api/verify-email,Handles the verification and confirmation of the authenticity of a user's email address.
Login 2FA Authentication,POST,https://zuriportfoloio.com/api/auth/2fa-auth,Facilitates Two-Factor Authentication (2FA) for user authentication using user’s email and a time-based one time passcode.
Confirm 2FA Authentication,POST,https://zuriportfoloio.com/api/auth/confirm-2fa,Confirms the Two-Factor Authentication (2FA) sent to the user
Forgot Password,PATCH,https://zuriportfoloio.com/api/auth/forgot-password,Handles the process of resetting a user's forgotten password.
LogOut,POST,https://zuriportfoloio.com/api/auth/logout,Allows users to log out or terminate their current session.
